date,log_cpi_x100,level_smoothed,log_vol_smoothed,prob_high_regime
2020-08-01,555.8047395230248,555.8036,1.976834,0.000984074123698228
2020-09-01,556.067009248742,555.9963,1.9512925,0.0011121443534397155
2020-10-01,556.1907802037413,556.14056,1.909549,0.0010374481507065053
2020-11-01,556.4179353001697,556.4352,1.896989,0.0009474504892509743
2020-12-01,556.8516244737962,556.8771,1.4111588,0.0009521147509004605
2021-01-01,557.0963209361192,557.0836,0.6173398,0.0009439758899143381
2021-02-01,557.4353133293985,557.45685,0.48243287,0.0009752769280064976
2021-03-01,557.9582645344362,557.96124,1.2052746,0.0009212360937658265
2021-04-01,558.5801919494124,558.56384,1.391183,0.0009304317527467908
2021-05-01,559.2415064790529,559.2502,1.5851626,0.0009621745280973345
2021-06-01,560.0841252368949,560.0906,0.5983091,0.0011636529319960487
2021-07-01,560.5445385045743,560.5402,0.19298297,0.002117534062272578
2021-08-01,560.8284277177661,560.7934,0.91830325,0.006636171767572094
2021-09-01,561.2799585277634,561.2928,0.19026141,0.025089134225933618
2021-10-01,562.2391636440688,562.2289,0.55605024,0.10996905838408869
2021-11-01,563.0921417088962,563.2007,0.7657859,0.5068295144532036
2021-12-01,563.7802915722226,563.4585,1.0233748,0.9697552566057793
2022-01-01,564.3830751392745,564.35266,0.5171366,0.49091664838024557
2022-02-01,565.0733253566385,565.0399,0.028410088,0.3795797719455866
2022-03-01,566.1827894558525,566.10693,0.55130064,0.36533693611879536
2022-04-01,566.4906502073061,566.7182,1.0980943,0.38551872318017194
2022-05-01,567.4346798167703,567.42084,1.0039032,0.08658666238653714
2022-06-01,568.6829583003539,568.64703,0.45592785,0.022629116220134148
2022-07-01,568.6680397589527,568.66626,0.051502325,0.005880802134114947
2022-08-01,568.7304115851811,568.771,0.16595456,0.0026419374426831675
2022-09-01,569.1537813839763,569.15826,0.49840605,0.0012815194317116801
2022-10-01,569.7116976162406,569.69257,0.71907514,0.0010246450064375675
2022-11-01,569.9727598077976,569.97687,0.007119967,0.0009353925705848299
2022-12-01,569.9881542571252,569.9777,0.070691995,0.0009358146568446761
2023-01-01,570.5181495569908,570.50867,0.12405487,0.0009373037773921966
2023-02-01,570.8604164935415,570.84406,0.051193345,0.0009673232162235465
2023-03-01,570.9834126417968,570.9787,-0.46240428,0.0009243551376597317
2023-04-01,571.3221123467323,571.3282,-0.17735623,0.0009193264720069866
2023-05-01,571.4834508642568,571.49274,-0.0592825,0.00092836218769926
2023-06-01,571.7073752977411,571.706,0.26014268,0.0009276536463982199
2023-07-01,571.9028986971375,571.9328,0.7857216,0.0010103255648210181
2023-08-01,572.3853039910009,572.3651,0.7600326,0.0009707102114642363
2023-09-01,572.7746366509548,572.7804,1.3625381,0.0009351552937153212
2023-10-01,572.9112282568492,572.86584,1.7011343,0.0009970783766205889
2023-11-01,573.0580187041579,573.05347,1.1432558,0.0009361448520819638
2023-12-01,573.2502737719752,573.29486,1.9738847,0.0009775434323120024
2024-01-01,573.5597629095857,573.5781,2.1891916,0.0009503799916868572
2024-02-01,573.9686797224483,574.031,2.0547981,0.0010333875879097215
2024-03-01,574.4108346127766,574.38885,2.0356438,0.0009559355797884875
2024-04-01,574.6276670268567,574.592,1.9893554,0.0009774024922829855
2024-05-01,574.6762139730255,574.7439,2.3633232,0.0010388959746209863
2024-06-01,574.6343755740274,574.6691,2.2817078,0.0010255444747676128
