date,cpi_yoy,level_smoothed,log_vol_smoothed,prob_high_regime,regime_label
2020-06-30,0.7166562831830481,0.71551543,-4.1305447,0.0001518407297325181,low-vol
2020-07-31,0.9968647625897997,0.9988613,-4.1527686,0.00015556313041641272,low-vol
2020-08-31,1.2810698495523853,1.2833266,-4.0169673,0.00015615841020224597,low-vol
2020-09-30,1.3910228912373812,1.3919785,-3.9796944,0.00015111810172570116,low-vol
2020-10-31,1.2303863428671624,1.2296481,-4.142207,0.000150667118657866,low-vol
2020-11-30,1.1757452138405844,1.1767305,-4.2790613,0.00015138988453644605,low-vol
2020-12-31,1.3204191315779434,1.3211757,-4.261604,0.0001507703570462061,low-vol
2021-01-31,1.3738437137002402,1.3742951,-4.305942,0.00015021269429702484,low-vol
2021-02-28,1.6698167791706853,1.66941,-4.3665695,0.00015024995110953705,low-vol
2021-03-31,2.6678187820641908,2.669156,-4.462459,0.00015326585199786237,low-vol
2021-04-30,4.133077115360573,4.13187,-4.5620794,0.00015295094648797036,low-vol
2021-05-31,4.918257089467626,4.9186635,-4.3756957,0.0001504367868071682,low-vol
2021-06-30,5.295632620349999,5.2937284,-4.3862844,0.00015613802612533665,low-vol
2021-07-31,5.245169381309234,5.245433,-4.4771676,0.00015019187360707152,low-vol
2021-08-31,5.152015301793966,5.152244,-4.482501,0.00015001478872705536,low-vol
2021-09-30,5.351215590949132,5.352116,-4.554672,0.00015152305571927864,low-vol
2021-10-31,6.235042390298062,6.2343016,-4.4699755,0.00015092996473890669,low-vol
2021-11-30,6.901970403700863,6.9023356,-4.451741,0.00015020212819320718,low-vol
2021-12-31,7.174340285065539,7.1731853,-4.354849,0.0001521157454501956,low-vol
2022-01-31,7.558805726967832,7.5597696,-4.329065,0.00015142282862905872,low-vol
2022-02-28,7.937278766517819,7.9375653,-4.206381,0.00015004039215966842,low-vol
2022-03-31,8.572204966013853,8.571552,-4.277314,0.0001505064044669082,low-vol
2022-04-30,8.231750770777225,8.231708,-4.377286,0.0001499109054947824,low-vol
2022-05-31,8.538171195642065,8.537319,-4.2363114,0.00015091824543382004,low-vol
2022-06-30,8.979361103105798,8.97965,-4.150527,0.00015001447269108643,low-vol
2022-07-31,8.462576727730099,8.463132,-4.340583,0.0001503707209812555,low-vol
2022-08-31,8.222579178218826,8.223041,-4.5009046,0.00015032757747409893,low-vol
2022-09-30,8.192106896425821,8.193109,-4.3562994,0.00015152795320324386,low-vol
2022-10-31,7.758813957693,7.758985,-4.3709545,0.00015004236496528062,low-vol
2022-11-30,7.122856456533988,7.1216197,-4.4002476,0.0001525073240928656,low-vol
2022-12-31,6.404600402357152,6.404412,-4.5489383,0.00015001284850688797,low-vol
2023-01-31,6.327178517960097,6.327355,-4.4871163,0.00014996028800946391,low-vol
2023-02-28,5.957820738137087,5.9569263,-4.399673,0.00015123899421667334,low-vol
2023-03-31,4.917719362889961,4.917961,-4.4236546,0.00015008638977388478,low-vol
2023-04-30,4.950079879124369,4.949487,-4.5134377,0.00015249615892415626,low-vol
2023-05-31,4.131851231385042,4.132488,-4.350286,0.00020927928758715606,low-vol
2023-06-30,3.070617072997095,3.086677,-4.2485266,0.0019275463495817251,low-vol
2023-07-31,3.287749268428297,3.2817597,-4.1307826,0.00030638955061870515,low-vol
2023-08-31,3.722504803505289,3.7099683,-4.01695,0.0005265969381053148,low-vol
2023-09-30,3.687206638119256,3.6865268,-4.1474485,0.00016321856339012226,low-vol
2023-10-31,3.2512659098611785,3.2539802,-3.9584644,0.0001589022141327347,low-vol
2023-11-30,3.1333462745911866,3.1307237,-3.8002717,0.00015698941259294186,low-vol
2023-12-31,3.3159099427102934,3.3135626,-3.8993995,0.00015619370848974026,low-vol
2024-01-31,3.0883429864855705,3.0908875,-3.9854271,0.0001576482327722295,low-vol
2024-02-29,3.157074141648697,3.1583588,-3.8480737,0.0001518242926598494,low-vol
2024-03-31,3.4868349120836584,3.485402,-3.732378,0.00015216657681934765,low-vol
2024-04-30,3.3607951262196734,3.3644397,-3.54027,0.00016292174498385657,low-vol
2024-05-31,3.244278584003113,3.2341433,-3.4475713,0.00023676758113534458,low-vol
2024-06-30,2.9702579486470926,2.967312,-3.3142536,0.00015796786551967423,low-vol
2024-07-31,2.9414757935583014,2.9430606,-3.1774368,0.00015162155255844117,low-vol
2024-08-31,2.607144490692037,2.6112616,-2.9284592,0.00015674569866734768,low-vol
2024-09-30,2.4264830315416708,2.4268916,-2.8146117,0.0001503240906507467,low-vol
2024-10-31,2.578844053871343,2.5741968,-2.425762,0.00015555128144118568,low-vol
2024-11-30,2.719472461284833,2.7118647,-2.2570565,0.00016329098896669493,low-vol
2024-12-31,2.870690967509981,2.8828917,-2.1804423,0.00018206847331470667,low-vol
2025-01-31,2.9909783078999608,2.9770265,-1.9153001,0.00018174511688271952,low-vol
2025-02-28,2.8015834477613355,2.8042033,-2.1377866,0.00015215388563444358,low-vol
2025-03-31,2.381981462805549,2.3805237,-2.2212148,0.0001503566874254097,low-vol
2025-04-30,2.32538823025783,2.3253999,-2.348306,0.000150366083767185,low-vol
2025-05-31,2.3772651073680873,2.3855581,-2.2775788,0.00016501150087218014,low-vol
2025-06-30,2.680453865910226,2.6853907,-2.3777072,0.0001595213244463925,low-vol
2025-07-31,2.742618052167134,2.7238839,-2.3572247,0.00025301336376319986,low-vol
2025-08-31,2.9385917430316155,2.934018,-2.2690296,0.00015790287255740268,low-vol
2025-09-30,3.0225715847133294,3.0167933,-2.1924698,0.00015712581387695304,low-vol
2025-11-30,2.988299628363511,2.9791112,-2.062372,0.00016660185203264629,low-vol
2025-12-31,3.00226204316838,3.0175803,-2.1783698,0.00020127394944057642,low-vol
2026-01-31,2.8286797395498997,2.827989,-2.3026552,0.00015254701210983934,low-vol
2026-02-28,2.6645890876940914,2.663388,-2.3989527,0.0001770685844116387,low-vol
2026-03-31,3.3202055812236786,3.3112078,-2.4203234,0.0009631158599187736,low-vol
