origin,horizon_months,horizon_days_label,target_date,point,lo80,hi80,lo95,hi95,actual,error_pp,in_80,in_95,width80_pp,width95_pp,sigma_low,sigma_high,p_high_at_origin
2021-07-31,1,30,2021-08-31,2.0638331392240827,-3.68694268799361,8.765759947580799,-10.034880394041771,13.30319016377264,7.145263,-5.081429860775917,True,True,12.452702635574408,23.33807055781441,0.3073151111602783,2.319260835647583,0.9999999758283592
2021-07-31,3,90,2021-10-31,2.3483054865424444,-2.9025715453815617,7.161382761129476,-8.48428217397486,14.177971966400076,9.451212,-7.1029065134575555,False,True,10.063954306511038,22.662254140374934,0.3073151111602783,2.319260835647583,0.9999999758283592
2021-10-31,1,30,2021-11-30,2.0208165835824348,-11.602999189871493,18.905399118393635,-67.9574143121639,40.75875862962991,10.071649,-8.050832416417567,True,True,30.50839830826513,108.71617294179381,0.4921693503856659,4.123640060424805,0.007105192740164699
2021-10-31,3,90,2022-01-31,2.9848708935623316,-11.937136697854589,24.024258939723335,-80.01203417274459,93.75328473630304,10.830843,-7.845972106437668,True,True,35.96139563757792,173.76531890904764,0.4921693503856659,4.123640060424805,0.007105192740164699
2022-01-31,1,30,2022-02-28,1.5749262018762868,-13.879009635971617,14.481077949693281,-34.14350961863079,33.399400985714934,10.833073,-9.258146798123715,True,True,28.3600875856649,67.54291060434572,0.36787623167037964,1.3446314334869385,0.9592708589831213
2022-01-31,3,90,2022-04-30,2.6065247381455334,-8.075555974907816,13.786683598115392,-34.657091626183174,34.83232969230717,10.608066,-8.001541261854467,True,True,21.86223957302321,69.48942131849034,0.36787623167037964,1.3446314334869385,0.9592708589831213
2022-04-30,1,30,2022-05-31,2.308258910257895,-11.217122023010207,15.636658273874739,-30.52852462807057,33.36517145551492,11.018533,-8.710274089742104,True,True,26.853780296884945,63.89369608358549,1.6246232986450195,5.246208667755127,0.04133048328748891
2022-04-30,3,90,2022-07-31,3.3015927734218,-15.052368354463292,20.70897283580767,-50.10867959184425,51.51804543570549,10.652051,-7.3504582265782,True,True,35.76134119027096,101.62672502754974,1.6246232986450195,5.246208667755127,0.04133048328748891
2022-07-31,1,30,2022-08-31,11.071191725064491,10.353056445237797,11.727206758245302,9.814570217128816,12.21699205377446,9.843255,1.2279367250644917,False,True,1.3741503130075046,2.402421836645644,1.0308877229690552,4.122522830963135,0.008541969050869245
2022-07-31,3,90,2022-10-31,11.077496658655946,10.09937172286838,12.127948451407601,9.401595497396764,13.366554320794052,8.26068,2.816816658655945,False,False,2.028576728539221,3.9649588233972874,1.0308877229690552,4.122522830963135,0.008541969050869245
2022-10-31,1,30,2022-11-30,8.586408937018398,7.873409719988757,10.30555495809484,7.366736160240657,12.044762031914049,7.484962,1.1014469370183972,False,True,2.4321452381060826,4.678025871673392,0.5404441356658936,1.3260852098464966,0.069342513667283
2022-10-31,3,90,2023-01-31,8.700257181796168,7.5292741698956265,10.713375771352183,6.619822893345209,12.648032539452764,6.120258,2.5799991817961683,False,False,3.1841016014565566,6.028209646107555,0.5404441356658936,1.3260852098464966,0.069342513667283
2023-01-31,1,30,2023-02-28,6.431652083992901,5.41276234509048,7.708989493685921,4.839284336617479,8.681819157468372,5.50524,0.9264120839929015,True,True,2.2962271485954417,3.8425348208508927,0.20306231081485748,1.5423473119735718,0.9996587723793785
2023-01-31,3,90,2023-04-30,6.534427525909621,5.341920888802999,7.79609332180223,4.338396746112825,8.818311296914942,3.808613,2.725814525909621,False,False,2.454172432999231,4.479914550802117,0.20306231081485748,1.5423473119735718,0.9996587723793785
2023-04-30,1,30,2023-05-31,4.158080130017023,3.286256747993126,8.708788480763898,2.6284410898457837,13.478889815946081,2.576366,1.5817141300170228,False,False,5.422531732770772,10.850448726100296,0.1922137439250946,1.1707087755203247,1.0
2023-04-30,3,90,2023-07-31,4.357032129791477,3.1084701271352206,8.561839902857125,2.21210578803198,14.595431564255756,2.209099,2.147933129791477,False,False,5.453369775721905,12.383325776223776,0.1922137439250946,1.1707087755203247,1.0
2023-07-31,1,30,2023-08-31,2.1688280742113877,1.6537509860392032,2.7060280924964717,1.395547464298124,3.011151517464553,2.599403,-0.43057492578861245,True,True,1.0522771064572685,1.6156040531664289,1.2112754583358765,3.9068429470062256,0.05487421455291531
2023-07-31,3,90,2023-10-31,2.16858973917547,1.347235562390241,3.080434101470678,0.753163878046592,3.6144467589018063,2.235288,-0.06669826082453012,True,True,1.733198539080437,2.861282880855214,1.2112754583358765,3.9068429470062256,0.05487421455291531
2023-10-31,1,30,2023-11-30,2.434434640193489,1.9328193627103591,2.8832966735082173,1.688396880389772,3.1677488063478934,2.287538,0.1468966401934888,True,True,0.9504773107978581,1.4793519259581214,0.10243751108646393,1.296062707901001,1.0
2023-10-31,3,90,2024-01-31,2.39529718726488,1.5167803698517999,3.410767149597748,0.9978892717055646,3.8140855548647243,2.103293,0.29200418726488,True,True,1.893986779745948,2.81619628315916,0.10243751108646393,1.296062707901001,1.0
