origin,horizon_days_label,target_date,actual,p1_point,point,hybrid_point,shift,lo80_hyb,hi80_hyb,lo95_hyb,hi95_hyb,hyb_error_pp,hyb_in_80,hyb_in_95,hyb_width80,hyb_width95
2023-01-31,30,2023-02-28,5.50524,3.9763610520553985,6.431652083992901,3.9763610520553985,-2.4552910319375028,2.957471313152977,5.253698461748419,2.383993304679976,6.226528125530869,-1.5288789479446012,False,True,2.296227148595442,3.842534820850893
2023-01-31,90,2023-04-30,3.808613,1.34366107018029,6.534427525909621,1.34366107018029,-5.190766455729331,0.1511544330736685,2.6053268660728994,-0.8523697096165055,3.6275448411856113,-2.46495192981971,False,False,2.454172432999231,4.479914550802117
2023-04-30,30,2023-05-31,2.576366,2.841101417900932,4.158080130017023,2.841101417900932,-1.3169787121160907,1.9692780358770352,7.391809768647807,1.311462377729693,12.161911103829988,0.264735417900932,True,True,5.422531732770771,10.850448726100295
2023-04-30,90,2023-07-31,2.209099,2.8020968060632314,4.357032129791477,2.8020968060632314,-1.554935323728246,1.5535348034069747,7.006904579128879,0.6571704643037339,13.04049624052751,0.5929978060632313,True,True,5.453369775721904,12.383325776223776
2023-07-31,30,2023-08-31,2.599403,2.6212287962392025,2.1688280742113877,2.6212287962392025,0.4524007220278148,2.106151708067018,3.1584288145242865,1.8479481863259388,3.4635522394923677,0.021825796239202333,True,True,1.0522771064572685,1.6156040531664289
2023-07-31,90,2023-10-31,2.235288,2.7388974353740516,2.16858973917547,2.7388974353740516,0.5703076961985816,1.9175432585888226,3.6507417976692595,1.3234715742451737,4.1847544551003875,0.5036094353740515,True,True,1.733198539080437,2.8612828808552138
2023-10-31,30,2023-11-30,2.287538,2.2923966011284307,2.434434640193489,2.2923966011284307,-0.14203803906505819,1.790781323645301,2.741258634443159,1.5463588413247138,3.0257107672828356,0.004858601128430617,True,True,0.9504773107978581,1.4793519259581218
2023-10-31,90,2024-01-31,2.103293,1.951417590439251,2.39529718726488,1.951417590439251,-0.44387959682562883,1.0729007730261713,2.966887552772119,0.5540096748799358,3.370205958039095,-0.15187540956074885,True,True,1.8939867797459478,2.8161962831591594
2024-01-31,30,2024-02-29,2.298157,1.1538177281284971,2.100658975378746,1.1538177281284971,-0.9468412472502488,0.5842650480915927,1.7455692996289476,0.016980142275239585,2.7288866186741174,-1.1443392718715026,False,True,1.1613042515373548,2.7119064763988776
2024-01-31,90,2024-04-30,3.095306,0.5435480280644049,2.104579113520173,0.5435480280644049,-1.561031085455768,-0.20865729882562856,1.4173024493619049,-0.8126900942822759,2.1015913514023574,-2.551757971935595,False,False,1.6259597481875334,2.914281445684633
