date,F_smoothed,y_rent_primary_log_std,lambda_rent_primary,y_owners_eq_rent_log_std,lambda_owners_eq_rent,y_electricity_log_std,lambda_electricity,y_utility_gas_log_std,lambda_utility_gas
2015-04-30,-0.73492515,-0.659836267028579,0.037017085,-0.6826305983150779,-0.02112586,-0.43015326425323375,0.03950139,-0.8998226940301763,-0.2890045
2015-05-31,-0.72934705,-0.6444645897957053,0.0452616,-0.6685814624749826,-0.012801173,-0.49920602249153656,-0.0042104535,-0.9456103338529227,-0.34611467
2015-06-30,-0.7105716,-0.6262636291161906,0.049324244,-0.6480841884922396,-0.0072821043,-0.464092079463319,-0.005944403,-0.9050333323566458,-0.34697938
2015-07-31,-0.70171106,-0.6073319016075205,0.05719383,-0.6310444620096726,-0.0004786309,-0.487738824034552,-0.025816752,-1.010122128480489,-0.43149316
2015-08-31,-0.6884795,-0.5898989601948145,0.06356177,-0.6172838958257133,0.0034145005,-0.492922489338747,-0.041196957,-1.0042054685534372,-0.45413002
2015-09-30,-0.6765346,-0.5689913862916343,0.07186024,-0.6008203221102804,0.008650282,-0.499132928362838,-0.056443,-1.0533698167021555,-0.51047635
2015-10-31,-0.6673923,-0.5523403817616989,0.07972938,-0.5867863113065778,0.014523188,-0.5150108131663153,-0.075129546,-1.1232915913965957,-0.5887419
2015-11-30,-0.659362,-0.5383492575854679,0.0872664,-0.5733581974189,0.021436026,-0.5191503524502357,-0.09022895,-1.2191831308740781,-0.6957706
2015-12-31,-0.65653634,-0.5233623978763774,0.09725384,-0.5581778779928276,0.031119889,-0.5423807831862377,-0.116289034,-1.4227627893993537,-0.8586188
2016-01-31,-0.6451291,-0.5044036350854645,0.10517241,-0.5409623318706962,0.03812077,-0.5859125214024578,-0.15675062,-1.374536970042585,-0.85210854
2016-02-29,-0.6331444,-0.4866668579475674,0.110892974,-0.525039115386729,0.042863835,-0.6153198776378851,-0.1874522,-1.3615560908369515,-0.8489842
2016-03-31,-0.61725533,-0.47019855349162626,0.11329173,-0.5103983284513084,0.04478838,-0.6000094420979133,-0.19359048,-1.3544831456799704,-0.85025394
2016-04-30,-0.6002523,-0.4523958866665259,0.11462277,-0.49230883856952096,0.04715438,-0.6019354559275713,-0.20241696,-1.3230576498330138,-0.83225274
2016-05-31,-0.5798714,-0.4337307280116405,0.11424586,-0.4711774243017341,0.049250547,-0.5872064265808072,-0.20392121,-1.260511689493167,-0.79315263
2016-06-30,-0.56170213,-0.4158707539575346,0.11280441,-0.45232736994379436,0.049816996,-0.5797417693737855,-0.20521474,-1.2538326300211327,-0.7694851
2016-07-31,-0.53307253,-0.3989986857104391,0.1058941,-0.4348649717758591,0.045057185,-0.551722266369646,-0.19865982,-1.0080719379021814,-0.5926607
2016-08-31,-0.5098477,-0.38310586303319905,0.10046035,-0.41788728820106374,0.041860245,-0.5322064581615119,-0.19062315,-0.9047289430808164,-0.50279295
2016-09-30,-0.48552418,-0.3640630525945975,0.09782899,-0.3959150945967374,0.041566893,-0.47807450549414143,-0.17164727,-0.8622966355990708,-0.4701758
2016-10-31,-0.46758917,-0.34180802871353116,0.10091263,-0.3780971789777875,0.043451615,-0.4965750755883448,-0.18798858,-0.8097952772255758,-0.44214633
2016-11-30,-0.45320582,-0.32286612549602534,0.10528977,-0.3581341008493375,0.04803598,-0.5105807015735341,-0.20628543,-0.8348059094539002,-0.4713951
2016-12-31,-0.43888953,-0.30323965068399483,0.10920884,-0.3412644214767874,0.050693437,-0.5062994884179145,-0.2147232,-0.8963639918790388,-0.5194749
2017-01-31,-0.4189237,-0.28671868863241406,0.10834056,-0.32670726064811423,0.04891579,-0.5047632293323738,-0.22181305,-0.7928026812254835,-0.4544562
2017-02-28,-0.39732167,-0.2698927584135666,0.10597953,-0.31100297348484673,0.04590723,-0.4772362935132153,-0.21694848,-0.7041325714747944,-0.39434567
2017-03-31,-0.382915,-0.25452523318658005,0.10484343,-0.29848869913019804,0.043017045,-0.4875198735698334,-0.22075382,-0.7230682127248724,-0.39718613
2017-04-30,-0.3574483,-0.23964302882592756,0.09889587,-0.28636502070098635,0.035282142,-0.4292478814551455,-0.1944529,-0.6025685249155078,-0.31580243
2017-05-31,-0.33331504,-0.22067145460002358,0.09501277,-0.27343510843062846,0.028495375,-0.3941297580311085,-0.1743856,-0.5039356515405464,-0.24735253
2017-06-30,-0.31284782,-0.20299377058634882,0.09316933,-0.2564325884337541,0.026381869,-0.3633361803174903,-0.15789206,-0.4899194745074574,-0.24749461
2017-07-31,-0.29636502,-0.18815489288697076,0.093108565,-0.24054414094485624,0.027491702,-0.33620733454498886,-0.14649326,-0.5450938863180148,-0.30384853
2017-08-31,-0.2807783,-0.16771218242673014,0.09642219,-0.22017917238772178,0.03200709,-0.3369228397199928,-0.15179703,-0.5808818015763,-0.3532897
2017-09-30,-0.26705506,-0.15425820671769994,0.09830014,-0.203443235607366,0.036519103,-0.33162969205596315,-0.16026524,-0.6260043879024958,-0.402685
2017-10-31,-0.25364408,-0.13636925473988337,0.10190304,-0.18459728430933492,0.04149663,-0.3625104975042472,-0.18390998,-0.6216740031233863,-0.41702026
2017-11-30,-0.2366862,-0.11888054854663736,0.104081005,-0.16881361020980437,0.043593824,-0.3421122629425683,-0.18449384,-0.6376274254071294,-0.43838423
2017-12-31,-0.21666433,-0.09780304448120282,0.10659927,-0.14824812605834553,0.046063274,-0.3284484204247015,-0.18619129,-0.5816769907257713,-0.42337278
2018-01-31,-0.206187,-0.0785642940659409,0.110516906,-0.13222104852459848,0.048888057,-0.33155818821270167,-0.19456384,-0.7262851683016197,-0.5035386
2018-02-28,-0.17993185,-0.06723887768606177,0.10459051,-0.12083534581300001,0.044692673,-0.3268404178149895,-0.20603311,-0.3943531994714999,-0.29318064
2018-03-31,-0.16736549,-0.05429005393614283,0.10487627,-0.1011972005182496,0.049357634,-0.3290559764183014,-0.21858555,-0.4530487938906457,-0.3216524
2018-04-30,-0.15574545,-0.03509165254182141,0.1098349,-0.0822103203963289,0.055808317,-0.3519281451793002,-0.2378748,-0.5000094072442974,-0.3751007
2018-05-31,-0.1415793,-0.02073997970806053,0.11286038,-0.06653047724277007,0.060204078,-0.32548281321450984,-0.2372936,-0.5510984072309881,-0.4393744
2018-06-30,-0.13328664,-0.005803851177540335,0.11858105,-0.052804289887944736,0.065674916,-0.3465529203684878,-0.25738418,-0.6472627223172607,-0.5252438
2018-07-31,-0.12084024,0.012523686718274868,0.124377556,-0.035095537265595486,0.07089423,-0.3758760134114006,-0.28327084,-0.647554931013677,-0.54428315
2018-08-31,-0.10240391,0.034015886074969116,0.12896709,-0.0183892714877544,0.0735428,-0.353398033540214,-0.2876456,-0.6047449338280844,-0.54324263
2018-09-30,-0.09731643,0.04638355799082689,0.13381124,-0.005118894245492537,0.07880999,-0.3948867744341531,-0.30682608,-0.7579877188511346,-0.6651716
2018-10-31,-0.07797049,0.0618971892830916,0.13338844,0.012337238866066361,0.08011328,-0.32641167443527963,-0.2788655,-0.8015552598919314,-0.7244057
2018-11-30,-0.059586897,0.08264405128837084,0.13284454,0.03151657162454814,0.08004226,-0.31766343498064886,-0.27074122,-0.8195473847676948,-0.722622
2018-12-31,-0.02513767,0.09616020010275614,0.12402174,0.046179019815844755,0.073231414,-0.24987587973173017,-0.2541977,-0.44561556113206735,-0.4759573
2019-01-31,-0.01962081,0.11192013595293542,0.12857622,0.06147760532986838,0.07841033,-0.3253041990398774,-0.29871613,-0.5189850870908537,-0.50817835
2019-02-28,-0.0098604,0.12763624133436832,0.1340284,0.08046621502839442,0.08554788,-0.34107409546048284,-0.32163993,-0.6057608484974408,-0.5776287
2019-03-31,0.011114143,0.15043867719976164,0.13848074,0.09926296373692449,0.08886232,-0.3208759067270731,-0.3257498,-0.5280105177042834,-0.5518854
2019-04-30,0.024945011,0.172427712982173,0.14543174,0.11982573075103206,0.095287755,-0.3256614315770006,-0.33706164,-0.5922046227068397,-0.6170252
